2021-04-05 22:48:26,121 INFO   --- [TwitterData] load_from_file: Data loaded from file tinyTwitter.json, rows=20, offset=944374
2021-04-05 22:48:26,121 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"["i'm", 'at', '@rivastkilda', 'in', 'st', 'kilda,', 'vic', 'https://t.co/kebicncmnp']", [144.97481346, -37.87559865]}
2021-04-05 22:48:26,122 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['good', 'guidance', 'for', 'all', 'you', 'ideas', 'people', 'coming', 'into', 'm2m:', '@skynannynet', "weren't", 'tech', 'savvy', 'so', 'they', 'focussed', 'on', 'outcomes', 'not', 'tech.', '#m2m']", [144.97490982, -37.87546411]}
2021-04-05 22:48:26,122 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['my', 'neighbours', 'no', 'matter', 'where', 'i', 'live!!', '💖', 'alisonhardi', '@', 'riva', 'st.kilda', 'marina', 'http://t.co/iiwio0fzrg']", [144.97492373, -37.8754259]}
2021-04-05 22:48:26,122 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['😎😎😎👯', '@', 'riva', 'st.kilda', 'marina', 'http://t.co/e6jiz5y8kq']", [144.97492373, -37.8754259]}
2021-04-05 22:48:26,122 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['pretty', 'awesome', 'day', '1', '@', 'riva', 'st', 'kilda', 'https://t.co/7ynuoadg6o']", [144.97490908, -37.87539256]}
2021-04-05 22:48:26,122 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['congratulations', 'to', '@poochesatplay', '&amp;', '#channelten', 'on', 'the', 'launch', 'of', 'your', 'new', 'tv', 'show.…', 'https://t.co/wzbclbf7oz']", [144.97505587, -37.87538373]}
2021-04-05 22:48:26,122 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['dinner', '&amp;', 'drinks', '🍷', 'with', 'the', 'bestie', 'before', 'flying', 'out', 'of', 'the', 'country…', 'https://t.co/cechf1svff']", [144.97505587, -37.87538373]}
2021-04-05 22:48:26,122 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['such', 'a', 'gorgeous', 'afternoon', 'on', '#hmaswaterfall', 'thank', 'you', 'ken', '&amp;', '@murrayschoorman', 'for', 'a', 'glorious', 'time…', 'https://t.co/bpz7ncihma']", [144.97505587, -37.87538373]}
2021-04-05 22:48:26,122 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['#champagne', '#birthdaybubbles', 'rivastkilda', '#riva', '#stkilda', '#marina', '#sunday', '#sundayvibes…', 'https://t.co/g5jsbumsfl']", [144.97505587, -37.87538373]}
2021-04-05 22:48:26,123 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['just', 'when', 'we', 'thought', 'things', 'couldn’t', 'get', 'better,', 'we', 'turned', 'our', 'heads', 'from', 'centre', 'stage', 'to', 'look…', 'https://t.co/pubijw420u']", [144.97505587, -37.87538373]}
2021-04-05 22:48:26,123 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['thank', 'you', '2017', '!', 'you', 'have', 'provided', 'me', 'with', 'some', 'amazing', 'memories,', 'adventures,', 'and', 'introduce', 'me…', 'https://t.co/tndavj1nhx']", [144.97505587, -37.87538373]}
2021-04-05 22:48:26,123 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['prime', 'vip', 'spot', 'at', 'forthelove', 'where', 'melbourne', 'is', 'turning', 'it', 'on', 'for', 'party', 'time', 'at', 'rivastkilda…', 'https://t.co/pmru5yskq2']", [144.97505587, -37.87538373]}
2021-04-05 22:48:26,123 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['summer', 'forever', '🌊☀️', '#lainoz', '🇦🇺', '@', 'riva', 'st.kilda', 'marina', 'https://t.co/cb1srqufpw']", [144.97505587, -37.87538373]}
2021-04-05 22:48:26,123 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['friends', 'forever', 'http://t.co/whcqreunlj']", [144.9751807, -37.87546655]}
2021-04-05 22:48:26,123 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['with', 'steve', 'peacocke', 'from', 'home', '&amp;', 'away', 'http://t.co/msvottasun']", [144.97518201, -37.87546484]}
2021-04-05 22:48:26,123 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['girls', 'night', 'with', 'my', 'loves', '@chandellierrose', 'b1nd1r', 'at', 'the', 'riva', 'christmas', 'party.', 'thank', 'you', 'drewe…', 'https://t.co/cbakyqsfdm']", [144.97509788, -37.87539563]}
2021-04-05 22:48:26,124 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['pre', 'christmas', 'lunch', 'with', 'my', 'beautiful', 'christmas', 'girl.', '@', 'riva', 'st.kilda', 'marina', 'https://t.co/zq7jquxht9']", [144.97509788, -37.87539563]}
2021-04-05 22:48:26,124 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['my', 'nye', 'day', 'party...', 'it', 'was', 'fun', 'buttttttt', 'it', 'was', 'freezing', 'at', 'night', 'bahahaha', 'ga', 'bw', 'jaket', 'lg…', 'https://t.co/rnyhjy4hqw']", [144.97509788, -37.87539563]}
2021-04-05 22:48:26,124 DEBUG  --- [TwitterPost] __init__: Post parsed from data - {"['mwah', '😘…', 'http://t.co/r3nxjrdis2']", [144.9751516, -37.87538158]}
